date_of_data,code,ticker_yahoo,ticker_stooq,company,industry,sector,official_weight,required_history_start,required_history_end,required_fields,current_status,blocking_reason
2026/03/31,6098,6098.T,6098.jp,"RECRUIT HOLDINGS CO., LTD.",Services,Consumer Goods,0.01281500,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,9766,9766.T,9766.jp,KONAMI GROUP CORP.,Services,Consumer Goods,0.01265600,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,6971,6971.T,6971.jp,KYOCERA CORP.,Electric Machinery,Technology,0.01245300,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,6367,6367.T,6367.jp,"DAIKIN INDUSTRIES, LTD.",Machinery,Capital Goods/Others,0.01223100,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,8015,8015.T,8015.jp,TOYOTA TSUSHO CORP.,Trading Companies,Materials,0.01168400,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,4543,4543.T,4543.jp,TERUMO CORP.,Precision Instruments,Technology,0.01103900,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,6758,6758.T,6758.jp,SONY GROUP CORP.,Electric Machinery,Technology,0.01050300,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,8058,8058.T,8058.jp,MITSUBISHI CORP.,Trading Companies,Materials,0.01044100,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,7203,7203.T,7203.jp,TOYOTA MOTOR CORP.,Automobiles & Auto parts,Technology,0.01034900,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,6988,6988.T,6988.jp,NITTO DENKO CORP.,Chemicals,Materials,0.01002800,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,4062,4062.T,4062.jp,"IBIDEN CO., LTD.",Electric Machinery,Technology,0.00965100,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,6920,6920.T,6920.jp,LASERTEC CORP.,Electric Machinery,Technology,0.00873200,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,7741,7741.T,7741.jp,HOYA CORP.,Precision Instruments,Technology,0.00869000,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,4503,4503.T,4503.jp,ASTELLAS PHARMA INC.,Pharmaceuticals,Technology,0.00824500,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,6146,6146.T,6146.jp,DISCO CORP.,Precision Instruments,Technology,0.00801700,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,9735,9735.T,9735.jp,"SECOM CO., LTD.",Services,Consumer Goods,0.00790200,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,8031,8031.T,8031.jp,"MITSUI & CO., LTD.",Trading Companies,Materials,0.00780100,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,7832,7832.T,7832.jp,BANDAI NAMCO HOLDINGS INC.,Other Manufacturing,Capital Goods/Others,0.00759400,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,4578,4578.T,4578.jp,"OTSUKA HOLDINGS CO., LTD.",Pharmaceuticals,Technology,0.00720700,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,8766,8766.T,8766.jp,"TOKIO MARINE HOLDINGS, INC.",Insurance,Financials,0.00717600,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
